Name of Project,Funding Partner,Implementing Partner Name ,Currency,Total Value,Start Date,Estimated End Date,Did Partner specify districts?,Maputo City,Maputo Province,Gaza,Inhambane,Manica,Sofala,Tete,Zambezia,Cabo Delgado,Nampula,Niassa,Notes,URL,Contact,Last Modified,Total Value (USD),Unique Project Name
(AMASI) USAID Facilitating Impact that Lasts for Orphans and Vulnerable Children (FILOVC) Local Activity North,USAID,Associação dos Educadores dos Consumidores de Água (AMASI),USD,21600000,2022,2027,Yes,,,,,,,,,"Pemba,Ancuabe,Metuge,Chiúre","Moma,Monapo,Mogovolas,Meconta,Nacala-Porto,Nampula- Cidade,Eráti,Muecate","Lichinga,Mandimba,Cuamba,Mecanhelas","Goals:
Reduce risky sexual behaviors among adolescents.
Increase the share of children and adolescents living with HIV (C/ALHIV) and high-risk children and adolescents who are healthy, stable, safe, and schooled.
Improve the quality and effectiveness of OVC prevention and case management services.
Strengthen national child protection systems.",https://www.usaid.gov/mozambique/fact-sheet/usaid-facilitating-impact-lasts-orphans-and-vulnerable-children-filovc-amasi-local-activity-mozambique,echichava@usaid.gov,11/26/2024 9:20am,21600000.0,(AMASI) USAID Facilitating Impact that Lasts for Orphans and Vulnerable Children (FILOVC) Local Activity North -- Associação dos Educadores dos Consumidores de Água (AMASI)
Momentum Private Healthcare Delivery (MPHD),USAID,Population Service International (PSI),USD,1500000,2023,2025,Yes,,,,,,,,,,"Nacala-Porto,Nampula- Cidade",,,https://usaidmomentum.org/resource/mphd-fact-sheet/,amataruse@usaid.gov,11/26/2024 9:23am,1500000.0,Momentum Private Healthcare Delivery (MPHD) -- Population Service International (PSI)
USAID Malaria Capacity Strengthening (MCAPS) ,USAID,Medical Care Development Inc. (MCDI) ,USD,29900000,2022,2027,Yes,,,,,Toda a província,,,Toda a província,Toda a província,,,,,asaifodine@usaid.gov,5/20/2024 9:26pm,29900000.0,USAID Malaria Capacity Strengthening (MCAPS)  -- Medical Care Development Inc. (MCDI) 
Mwanasana (Comusanas),USAID,Associação ComuSanas,USD,17843307,2020,2025,Yes,,,,,,"Beira,Dondo,Nhamatanda,Gorongosa,Buzi,Caia,Marromeu,Cheringoma,Maringué",,,,,,,https://www.usaid.gov/sites/default/files/2022-05/Comusanas_-_Fact_Sheet_May_2021.pdf,jmachava@usaid.gov,5/20/2024 9:26pm,17843307.0,Mwanasana (Comusanas) -- Associação ComuSanas
USAID Fighting Malaria with Social and Behavioral Change (FMSBC),USAID,"Johns Hopkins University, on behalf of its Bloomberg School of Public Health’s Center for Communication Programs (JHU CCP) ",USD,17000000,2022,2027,Yes,,,,,"Chimoio,Macossa,Manica,Sussundenga,Vanduzi,Barue",,,"Inhassunge,Gurué,Ile,Maganja da Costa,Milange,Mocuba,Mopeia,Lugela,Namacurra,Namarrói,Alto Molocue,Quelimane",,"Lalaua,Larde,Monapo,Nacala-Porto,Nampula- Cidade,Nacala-a-Velha",,"The intended impact of this activity is to increase the adoption and maintenance of malaria prevention
and treatment behaviors in targeted areas of Mozambique. By improving malaria related behavioral
outcomes, USAID expects to see a reduction in the overall malaria burden. The project aims to see
observable shifts in priority behaviors and enabling social norms including, but not limited to:
■ Correct and consistent use and care of insecticide-treated nets;
■ Prompt and appropriate care-seeking for fever;
■ Early and regular antenatal care attendance;
■ Acceptance of intermittent preventive treatment in pregnancy, when offered;
■ Acceptance of indoor residual spraying, when offered;
■ Adherence to national testing and treatment guidelines;
■ Adherence to malaria in pregnancy guidelines; and
■ Acceptance of new forms of prevention interventions.",https://www.usaid.gov/sites/default/files/2023-07/FMSBC%20JHU%20CCP-%20May%202023.pdf,"hmucavele@usaid.gov, fwate@usaid.gov",11/26/2024 9:23am,17000000.0,"USAID Fighting Malaria with Social and Behavioral Change (FMSBC) -- Johns Hopkins University, on behalf of its Bloomberg School of Public Health’s Center for Communication Programs (JHU CCP) "
RISE (Field Support),USAID,Jhpiego,USD,3000000,2022,2025,Yes,Maputo City,Matola,,,,,,,,Nampula- Cidade,,,,wgaspar@usaid.gov,11/26/2024 9:23am,3000000.0,RISE (Field Support) -- Jhpiego
"Intermediary Warehouse Implementation, Central And Intermediate Warehouses Management And Accountability Project (CMAM)",USAID,Central de Medicamentos e Artigos Medicos (CMAM),USD,2484571,2024,2027,No,,,,,,,,,,,,"The geographic scope of the project is Nationanwide, with focus on Provinces with Intermediary Warehouses and Regional/Central Warehouses, including the Provinces where DPMs will transition to Intermediary Warehouses. 

The Intermediary Warehouse Implementation, Central and Intermediate Warehouses Management and Accountability Project has six main objectives:

Implementation and operationalization of the strategy, processes, and procedures of intermediate warehouses.

Improved management of central and intermediate warehouses,  including minor infrastructure improvements;

Improved accountability and internal controls;

Improved security and communications capacity for CMAM Zimpeto warehouse;

Improvements to Zimpeto warehouse, including office space;

Improved stock control systems and security at Regional and Intermediate Warehouse",https://www.usaid.gov/mozambique/fact-sheet/intermediary-warehouse-implementation-central-and-intermediate-warehouses-management-and-accountability-project-cmam,fmoises@usaid.gov,5/20/2024 9:26pm,2484571.0,"Intermediary Warehouse Implementation, Central And Intermediate Warehouses Management And Accountability Project (CMAM) -- Central de Medicamentos e Artigos Medicos (CMAM)"
Voluntary Medical Male Circumcision (VMMC) Local Activity in Mozambique.,"USAID,PEPFAR",ELOS,USD,28000000,2023,2027,Yes,,,,,"Barue,Chimoio,Gondola,Guro,Machaze,Manica,Mossurize,Sussundenga,Vanduzi,Macate,Macossa",,"Angonia,Changara,Chiuta,Macanga,Moatize,Mutarara,Tete,Chifunde,Cahora-Bassa,Marávia,Zumbo",,,,,"Goals:
Reduce HIV incidence in Manica and Tete Provinces. 
Provide  safe and comprehensive VMMC services to 80% of males aged 15-29 in Tete and Manica Provinces",https://www.usaid.gov/mozambique/fact-sheet/voluntary-medical-male-circumcision,jtomas@usaid.gov,5/20/2024 9:26pm,28000000.0,Voluntary Medical Male Circumcision (VMMC) Local Activity in Mozambique. -- ELOS
ECHO - EFFICIENCIES FOR CLINICAL HIV OUTCOMES,"USAID,PEPFAR",ABT Associates,USD,239552897,2019,2026,Yes,,,,,"Barue,Chimoio,Gondola,Guro,Macate,Machaze,Manica,Mossurize,Sussundenga,Vanduzi","Beira,Buzi,Caia,Dondo,Gorongosa,Machanga,Marromeu,Nhamatanda,Cheringoma,Chibabava","Angonia,Changara,Chiuta,Macanga,Magoe,Marara,Moatize,Mutarara,Cahora-Bassa,Tete",,,,"Cuamba,Lago,Kichinga,Mandimba,Mecanhelas,Metarica,N'gauma","GOAL:
To support the Government of the
Republic of Mozambique in achieving
sustained, country-led HIV and AIDS
epidemic control by 2024",https://www.usaid.gov/sites/default/files/2023-02/ECHO_Fact_sheet_-_November_2021_Final.pdf,mbranquinho@usaid.gov,5/20/2024 9:26pm,239552897.0,ECHO - EFFICIENCIES FOR CLINICAL HIV OUTCOMES -- ABT Associates
USAID HIV Key & Populations (KPP)/PASSOS+,"USAID,PEPFAR",Centro Internacional de Saúde Reproductiva em Moçambique (ICRH-M),USD,34997541,2022,2027,Yes,Maputo City,"Boane,Matola,Moamba","Bilene,Chonguene,Limpopo,Xai-Xai","Inhambane,Inhassoro,Massinga,Maxixe,Govuro,Vilanculos","Chimoio,Gondola,Manica,Vanduzi","Beira,Chibabava,Dondo","Changara,Moatize,Tete,Chiuta","Alto Molocue,Milange,Mocuba,Namacurra,Nicoadala,Quelimane,Gurué","Ancuabe,Metuge,Montepuez,Pemba,Chiúre","Meconta,Mogovolas,Nacala-Porto,Nampula- Cidade,Nacala-a-Velha","Cuamba,Lichinga,Mandimba",,https://www.usaid.gov/mozambique/fact-sheet/hiv-key-and-priority-populations-local-activity-passos,wgaspar@usaid.gov,11/26/2024 9:21am,34997541.0,USAID HIV Key & Populations (KPP)/PASSOS+ -- Centro Internacional de Saúde Reproductiva em Moçambique (ICRH-M)
Manica OVC Local project (ANDA),"USAID,PEPFAR",Associação Nacional para o Desenvolvimento Auto Sustentado (ANDA),USD,22122240,2020,2025,Yes,,,,,"Barue,Chimoio,Gondola,Manica,Mossurize,Sussundenga,Guro,Vanduzi",,"Changara,Moatize,Cahora-Bassa,Tete",,,,,"USAID ChenguetaiVana works to reduce HIV prevalence and HIV-related mortality among children and adolescents byl identifying, linking and retaining vulnerable children, at-risk adolescents, and their families in care. Activities are designed to provide orphans and vulnerable children (OVC), adolescents and youth with strategies to stay healthy and develop life skills,support families to become more resilient, and engage and
mobilize communities to take action against harmful social norms and practices. It also works to improve coordination among health and social protection institutions and systems.The project is aligned with the Government of Mozambique’s strategic responses to the HIV epidemic and OVC crisis and will introduce innovative strategies and enhance collaboration with existing government structures to improve child protection and response readiness.",https://www.usaid.gov/sites/default/files/2022-05/ANDA_-_Fact_Sheet_January_2022.pdf,jmachava@usaid.gov,5/24/2024 8:58am,22122240.0,Manica OVC Local project (ANDA) -- Associação Nacional para o Desenvolvimento Auto Sustentado (ANDA)
"SUPPORT TO THE NATIONAL COUNCIL
TO COMBAT HIV/AIDS (CNCS
G-TO-G)","USAID,PEPFAR","Conselho Nacional de Combate ao
HIV/SIDA",USD,7000000,2019,2027,Yes,,"Boane,Manhiça,Matutuíne","Mandlacaze,Chokwe,Mapai","Massinga,Vilanculos,Maxixe,Mabote,Inharrime","Sussundenga,Mossurize,Machaze,Guro,Vanduzi","Cheringoma,Nhamatanda,Dondo,Buzi,Marromeu","Mutarara,Marávia,Magoe,Cahora-Bassa,Angonia","Namacurra,Maganja da Costa,Mocuba,Pebane,Mocubela","Montepuez,Chiúre,Ancuabe,Namuno,Mecufi","Larde,Lalaua,Liupo,Nacala-a-Velha,Murrupula,Muecate,Monapo","Cuamba,Mandimba,Mecanhelas,Metarica,N'gauma",,https://www.usaid.gov/sites/default/files/2022-05/CNCS_Fact_sheet_-_January_2022_.pdf,acossa@usaid.gov,11/26/2024 9:21am,7000000.0,"SUPPORT TO THE NATIONAL COUNCIL
TO COMBAT HIV/AIDS (CNCS
G-TO-G) -- Conselho Nacional de Combate ao
HIV/SIDA"
PREDICOS - Programa de Revitalização dos Serviços Distritais e Comunitários de Saúde,"World Bank,Global Financing Facility",MISAU,USD,115000000,2024,2028,Yes,,"Matola,Manhiça,Marracuene","Chibuto,Chicualacuala,Chigubo,Guijá,Mabalane,Massangena","Funhalouro,Govuro,Mabote,Panda,Vilanculos,Zavala","Guro,Macossa,Manica,Mossurize,Tambara","Chemba,Marromeu,Machanga,Maringué,Muanza,Beira","Chifunde,Marávia,Moatize,Mutarara,Zumbo,Doa","Chinde,Derre,Luabo,Maganja da Costa,Mocubela,Molumbo,Morrumbala,Namacurra,Pebane","Balama,Mecufi,Meluco,Muidumbe,Namuno,Nangade,Palma","Angoche,Eráti,Memba,Mogincual,Mogovolas,Moma,Monapo,Larde,Liupo","Mandimba,Marrupa,Mavago,Mecanhelas,Muembe,N'gauma,Chimbonila","Breakdown of Funding: 
World Bank: USD$100M
GFF: USD$15M",https://projects.worldbank.org/en/projects-operations/project-detail/P179913,hcossa@worldbank.org,11/26/2024 9:23am,115000000.0,PREDICOS - Programa de Revitalização dos Serviços Distritais e Comunitários de Saúde -- MISAU
